1002,YER061C,0.965784939,1003,YER074W
1033,YGR164W,0.894234160,1036,YGR170W
1033,YGR164W,0.921127008,1037,YGR172C
1033,YGR164W,0.938784979,1038,YGR174C
1033,YGR164W,0.905631173,1039,YGR188C
1035,YGR168C,0.927926278,1036,YGR170W
1035,YGR168C,0.895673373,1037,YGR172C
1035,YGR168C,0.974241146,1038,YGR174C
1035,YGR168C,0.958674717,1039,YGR188C
1036,YGR170W,0.965777499,1037,YGR172C
1036,YGR170W,0.974555952,1038,YGR174C
1036,YGR170W,0.927755523,1039,YGR188C
1037,YGR172C,0.952934202,1038,YGR174C
1037,YGR172C,0.876414869,1039,YGR188C
1038,YGR174C,0.952283402,1039,YGR188C
103,YDR272W,0.968677292,104,YDR274C
103,YDR272W,0.983435149,105,YDR276C
103,YDR272W,0.981267924,106,YDR278C
1041,YGR192C,0.915637897,1042,YGR194C
1041,YGR192C,0.934689286,1046,YGR214W
1041,YGR192C,0.878090285,1048,YGR218W
1042,YGR194C,0.967191192,1044,YGR198W
1042,YGR194C,0.937475817,1045,YGR212W
1042,YGR194C,0.989596233,1046,YGR214W
1042,YGR194C,0.873807462,1047,YGR216C
1042,YGR194C,0.979134199,1048,YGR218W
1043,YGR196C,0.921952698,1045,YGR212W
1043,YGR196C,0.906698891,1047,YGR216C
1044,YGR198W,0.937999968,1045,YGR212W
1044,YGR198W,0.962234356,1046,YGR214W
1044,YGR198W,0.982737695,1048,YGR218W
1045,YGR212W,0.928608208,1046,YGR214W
1045,YGR212W,0.919971984,1048,YGR218W
1046,YGR214W,0.986856047,1048,YGR218W
104,YDR274C,0.960506000,105,YDR276C
104,YDR274C,0.958367848,106,YDR278C
1050,YGR222W,0.967399863,1051,YGR236C
1050,YGR222W,0.960031059,1052,YGR238C
1050,YGR222W,0.966384037,1053,YGR240C
1050,YGR222W,0.953593447,1054,YGR242W
1050,YGR222W,0.980196369,1055,YGR244C
1050,YGR222W,0.989247448,1056,YGR246C
1050,YGR222W,0.961726484,1057,YHR190W
1051,YGR236C,0.937324863,1052,YGR238C
1051,YGR236C,0.915969044,1053,YGR240C
1051,YGR236C,0.929721719,1054,YGR242W
1051,YGR236C,0.967126812,1055,YGR244C
1051,YGR236C,0.962744185,1056,YGR246C
1051,YGR236C,0.903224124,1057,YHR190W
1051,YGR236C,0.888064242,1058,YHR192W
1051,YGR236C,0.902683785,1059,YHR194W
1052,YGR238C,0.965939611,1053,YGR240C
1052,YGR238C,0.956377154,1054,YGR242W
1052,YGR238C,0.951732017,1055,YGR244C
1052,YGR238C,0.969107141,1056,YGR246C
1052,YGR238C,0.901460548,1057,YHR190W
1053,YGR240C,0.973847903,1054,YGR242W
1053,YGR240C,0.964917610,1055,YGR244C
1053,YGR240C,0.973607664,1056,YGR246C
1053,YGR240C,0.956673404,1057,YHR190W
1054,YGR242W,0.940233379,1055,YGR244C
1054,YGR242W,0.953761277,1056,YGR246C
1054,YGR242W,0.911893657,1057,YHR190W
1055,YGR244C,0.987937047,1056,YGR246C
1055,YGR244C,0.964478893,1057,YHR190W
1055,YGR244C,0.895503831,1059,YHR194W
1056,YGR246C,0.963798815,1057,YHR190W
1056,YGR246C,0.873950466,1059,YHR194W
1058,YHR192W,0.938016914,1059,YHR194W
105,YDR276C,0.994028470,106,YDR278C
1061,YHR198C,0.948994341,1062,YHR200W
1061,YHR198C,0.962816846,1063,YHR214C-B
1061,YHR198C,0.906480912,1064,YHR214W
1062,YHR200W,0.897502236,1063,YHR214C-B
1062,YHR200W,0.946879077,1064,YHR214W
1063,YHR214C-B,0.905367662,1064,YHR214W
1071,YIL018W,0.901361812,1073,YIL022W
1071,YIL018W,0.949814955,1074,YIL024C
1071,YIL018W,0.956391410,1075,YIL038C
1071,YIL018W,0.893775080,1076,YIL040W
1071,YIL018W,0.952914166,1077,YIL042C
1071,YIL018W,0.905028139,1078,YIL044C
1071,YIL018W,0.967406775,1079,YIL046W
1071,YIL018W,0.944452821,1080,YIL048W
1073,YIL022W,0.955668517,1075,YIL038C
1073,YIL022W,0.963071818,1079,YIL046W
1073,YIL022W,0.927145063,1080,YIL048W
1074,YIL024C,0.935963912,1075,YIL038C
1074,YIL024C,0.916215374,1076,YIL040W
1074,YIL024C,0.937399732,1077,YIL042C
1074,YIL024C,0.916821583,1078,YIL044C
1074,YIL024C,0.896071707,1079,YIL046W
1074,YIL024C,0.934670897,1080,YIL048W
1075,YIL038C,0.888935607,1076,YIL040W
1075,YIL038C,0.944243487,1077,YIL042C
1075,YIL038C,0.907069650,1078,YIL044C
1075,YIL038C,0.962434227,1079,YIL046W
1075,YIL038C,0.979169849,1080,YIL048W
1076,YIL040W,0.946407907,1077,YIL042C
1076,YIL040W,0.955488460,1078,YIL044C
1076,YIL040W,0.872408824,1080,YIL048W
1077,YIL042C,0.967003683,1078,YIL044C
1077,YIL042C,0.912737119,1079,YIL046W
1077,YIL042C,0.935734544,1080,YIL048W
1079,YIL046W,0.949262622,1080,YIL048W
108,YDR282C,0.921104836,109,YDR296W
108,YDR282C,0.924619479,110,YDR298C
1095,YCONTROL91,0.905884676,1100,YCONTROL63
1095,YCONTROL91,0.969774915,1101,YCONTROL91
1095,YCONTROL91,0.893484687,1102,YCONTROL02
1095,YCONTROL91,0.888339632,1104,YCONTROL99
1098,YCONTROL99,0.916598378,1102,YCONTROL02
1098,YCONTROL99,0.985436718,1104,YCONTROL99
1098,YCONTROL99,0.887120802,1105,YJL129C
109,YDR296W,0.972061993,110,YDR298C
1101,YCONTROL91,0.922812616,1102,YCONTROL02
1102,YCONTROL02,0.924453707,1104,YCONTROL99
1114,YJL159W,0.973703448,1115,YJL161W
1114,YJL159W,0.967464340,1117,YJL177W
1114,YJL159W,0.952313787,1121,YJL185C
1114,YJL159W,0.890100691,1125,YJL205C-A
1115,YJL161W,0.949606638,1117,YJL177W
1115,YJL161W,0.931445445,1121,YJL185C
1115,YJL161W,0.875462729,1125,YJL205C-A
1116,YJL163C,0.907148732,1117,YJL177W
1116,YJL163C,0.942494799,1121,YJL185C
1117,YJL177W,0.982806529,1121,YJL185C
1117,YJL177W,0.928821674,1125,YJL205C-A
1121,YJL185C,0.927765505,1125,YJL205C-A
1122,YJL187C,0.889579504,1125,YJL205C-A
112,YDR302W,0.964213840,113,YDR304C
112,YDR302W,0.958223112,114,YDR306C
112,YDR302W,0.953360922,115,YDR318W
112,YDR302W,0.984503802,117,YDR322C-A
112,YDR302W,0.977850008,118,YDR323C
1137,YKL149C,0.961501519,1138,YKL151C
1137,YKL149C,0.943687997,1140,YKL155C
1137,YKL149C,0.943502280,1141,YKL168C
1137,YKL149C,0.974754370,1142,YKL170W
1137,YKL149C,0.958268949,1144,YKL174C
1137,YKL149C,0.962913760,1145,YKL176C
1137,YKL149C,0.965083199,1147,YKL192C
1137,YKL149C,0.944488194,1149,YKL196C
1138,YKL151C,0.898544011,1140,YKL155C
1138,YKL151C,0.926252585,1141,YKL168C
1138,YKL151C,0.956150609,1142,YKL170W
1138,YKL151C,0.897813224,1144,YKL174C
1138,YKL151C,0.949671368,1145,YKL176C
1138,YKL151C,0.983458126,1147,YKL192C
1138,YKL151C,0.915794731,1149,YKL196C
1139,YKL153W,0.881454174,1148,YKL194C
113,YDR304C,0.969289030,114,YDR306C
113,YDR304C,0.960503883,115,YDR318W
113,YDR304C,0.971723481,117,YDR322C-A
113,YDR304C,0.942917590,118,YDR323C
1140,YKL155C,0.940452981,1141,YKL168C
1140,YKL155C,0.916794610,1144,YKL174C
1140,YKL155C,0.956829639,1145,YKL176C
1140,YKL155C,0.918677235,1147,YKL192C
1140,YKL155C,0.937626283,1149,YKL196C
1141,YKL168C,0.888781483,1142,YKL170W
1141,YKL168C,0.900526187,1144,YKL174C
1141,YKL168C,0.912947469,1145,YKL176C
1141,YKL168C,0.911938111,1147,YKL192C
1141,YKL168C,0.882252191,1149,YKL196C
1142,YKL170W,0.950792285,1144,YKL174C
1142,YKL170W,0.949991481,1145,YKL176C
1142,YKL170W,0.949891209,1147,YKL192C
1142,YKL170W,0.902774051,1149,YKL196C
1144,YKL174C,0.949563121,1145,YKL176C
1144,YKL174C,0.928694431,1147,YKL192C
1144,YKL174C,0.930830159,1149,YKL196C
1145,YKL176C,0.957609931,1147,YKL192C
1145,YKL176C,0.940189332,1149,YKL196C
1147,YKL192C,0.939328533,1149,YKL196C
114,YDR306C,0.963259165,115,YDR318W
114,YDR306C,0.967472673,117,YDR322C-A
114,YDR306C,0.941002894,118,YDR323C
1151,YKL201C,0.985971035,1152,YKL203C
1156,YLR110C,0.966043449,1157,YLR112W
115,YDR318W,0.921999332,116,YDR320C
115,YDR318W,0.978008687,117,YDR322C-A
115,YDR318W,0.947294418,118,YDR323C
1162,YLR134W,0.956951256,1163,YLR136C
1162,YLR134W,0.876639577,1164,YLR138W
1162,YLR134W,0.920806786,1165,YLR152C
1162,YLR134W,0.913511320,1167,YLR156W
1162,YLR134W,0.955890427,1169,YLR158C
1162,YLR134W,0.963210429,1170,YLR160C
1162,YLR134W,0.951918601,1171,YLR174W
1162,YLR134W,0.968451381,1173,YLR178C
1163,YLR136C,0.945447592,1164,YLR138W
1163,YLR136C,0.917017936,1165,YLR152C
1163,YLR136C,0.977516029,1167,YLR156W
1163,YLR136C,0.921145359,1168,YLR157C-A
1163,YLR136C,0.974208587,1169,YLR158C
1163,YLR136C,0.973460736,1170,YLR160C
1163,YLR136C,0.988236899,1171,YLR174W
1163,YLR136C,0.886466049,1172,YLR176C
1163,YLR136C,0.992437141,1173,YLR178C
1163,YLR136C,0.889423901,1175,YLR182W
1164,YLR138W,0.889809519,1165,YLR152C
1164,YLR138W,0.962785364,1167,YLR156W
1164,YLR138W,0.936941575,1169,YLR158C
1164,YLR138W,0.949968340,1170,YLR160C
1164,YLR138W,0.965440746,1171,YLR174W
1164,YLR138W,0.945328840,1173,YLR178C
1165,YLR152C,0.911837565,1167,YLR156W
1165,YLR152C,0.881972600,1168,YLR157C-A
1165,YLR152C,0.939578852,1169,YLR158C
1165,YLR152C,0.941238598,1170,YLR160C
1165,YLR152C,0.934084250,1171,YLR174W
1165,YLR152C,0.934013272,1173,YLR178C
1165,YLR152C,0.872205107,1174,YLR180W
1166,YLR154C,0.928163109,1175,YLR182W
1167,YLR156W,0.950794396,1168,YLR157C-A
1167,YLR156W,0.973895803,1169,YLR158C
1167,YLR156W,0.971484507,1170,YLR160C
1167,YLR156W,0.987881002,1171,YLR174W
1167,YLR156W,0.896778066,1172,YLR176C
1167,YLR156W,0.972543214,1173,YLR178C
1168,YLR157C-A,0.956618684,1169,YLR158C
1168,YLR157C-A,0.932003724,1170,YLR160C
1168,YLR157C-A,0.941821714,1171,YLR174W
1168,YLR157C-A,0.906700962,1172,YLR176C
1168,YLR157C-A,0.926403058,1173,YLR178C
1169,YLR158C,0.995747365,1170,YLR160C
1169,YLR158C,0.992699618,1171,YLR174W
1169,YLR158C,0.881448402,1172,YLR176C
1169,YLR158C,0.989602618,1173,YLR178C
116,YDR320C,0.895524810,117,YDR322C-A
116,YDR320C,0.934906688,118,YDR323C
1170,YLR160C,0.993536875,1171,YLR174W
1170,YLR160C,0.988822980,1173,YLR178C
1171,YLR174W,0.884783222,1172,YLR176C
1171,YLR174W,0.992426224,1173,YLR178C
1172,YLR176C,0.882373315,1173,YLR178C
1172,YLR176C,0.912556859,1175,YLR182W
117,YDR322C-A,0.977466439,118,YDR323C
1187,YML039W,0.982614034,1188,YML041C
1187,YML039W,0.956776081,1189,YML054C
1187,YML039W,0.902900532,1190,YML056C
1188,YML041C,0.932584139,1189,YML054C
1188,YML041C,0.913065583,1190,YML056C
1189,YML054C,0.937623462,1190,YML056C
1200,YML085C,0.909163986,1202,YMR238W
1200,YML085C,0.893807868,1204,YMR242C
1201,YMR236W,0.889834951,1202,YMR238W
1201,YMR236W,0.982197802,1205,YMR244C-A
1202,YMR238W,0.913834018,1204,YMR242C
1202,YMR238W,0.931643890,1205,YMR244C-A
1204,YMR242C,0.904637185,1205,YMR244C-A
1207,YMR260C,0.950952186,1210,YMR266W
1208,YMR262W,0.900593374,1209,YMR264W
1208,YMR262W,0.884638102,1210,YMR266W
1209,YMR264W,0.886581571,1210,YMR266W
120,YDR327W,0.936485699,121,YEL076C-A
120,YDR327W,0.963738222,122,YEL077C
120,YDR327W,0.970206510,123,YER002W
120,YDR327W,0.985193993,124,YER004W
120,YDR327W,0.973356495,125,YER006W
120,YDR327W,0.909303368,126,YER007W
120,YDR327W,0.953079445,127,YER020W
1217,YMR291W,0.888323730,1219,YMR305C
121,YEL076C-A,0.970466635,122,YEL077C
121,YEL076C-A,0.959874575,123,YER002W
121,YEL076C-A,0.937774214,124,YER004W
121,YEL076C-A,0.885906589,125,YER006W
121,YEL076C-A,0.935069300,126,YER007W
121,YEL076C-A,0.955020035,127,YER020W
1224,YMR314W,0.944126745,1225,YNL285W
1224,YMR314W,0.914138299,1226,YNL287W
122,YEL077C,0.949503995,123,YER002W
122,YEL077C,0.974680324,124,YER004W
122,YEL077C,0.928381027,125,YER006W
122,YEL077C,0.888917511,126,YER007W
122,YEL077C,0.982206928,127,YER020W
123,YER002W,0.966816262,124,YER004W
123,YER002W,0.947807751,125,YER006W
123,YER002W,0.937427515,126,YER007W
123,YER002W,0.921455961,127,YER020W
1240,YNL339C,0.973703260,1241,YNR002C
1240,YNL339C,0.978103071,1243,YNR018W
1240,YNL339C,0.887921552,1244,YNR020C
1240,YNL339C,0.896851537,1245,YNR022C
1241,YNR002C,0.973385695,1243,YNR018W
1241,YNR002C,0.890185662,1244,YNR020C
1241,YNR002C,0.940976320,1245,YNR022C
1243,YNR018W,0.922413228,1245,YNR022C
1244,YNR020C,0.904551212,1245,YNR022C
1248,YNR028W,0.964551489,1250,YOR083W
1248,YNR028W,0.877888045,1251,YOR085W
1248,YNR028W,0.923115039,1252,YOR087W
1248,YNR028W,0.939097777,1253,YOR089C
1248,YNR028W,0.937098185,1254,YOR091W
1249,YOR081C,0.932726752,1251,YOR085W
1249,YOR081C,0.921658457,1252,YOR087W
1249,YOR081C,0.926229651,1253,YOR089C
1249,YOR081C,0.955112655,1254,YOR091W
1249,YOR081C,0.970420947,1255,YOR105W
124,YER004W,0.968528806,125,YER006W
124,YER004W,0.887998150,126,YER007W
124,YER004W,0.959497189,127,YER020W
1250,YOR083W,0.953224905,1251,YOR085W
1250,YOR083W,0.977490349,1252,YOR087W
1250,YOR083W,0.969765311,1253,YOR089C
1250,YOR083W,0.948151068,1254,YOR091W
1250,YOR083W,0.909240861,1255,YOR105W
1251,YOR085W,0.983220112,1252,YOR087W
1251,YOR085W,0.972361942,1253,YOR089C
1251,YOR085W,0.959150857,1254,YOR091W
1251,YOR085W,0.945174851,1255,YOR105W
1252,YOR087W,0.989239874,1253,YOR089C
1252,YOR087W,0.975266204,1254,YOR091W
1252,YOR087W,0.949565320,1255,YOR105W
1253,YOR089C,0.988853206,1254,YOR091W
1253,YOR089C,0.943489783,1255,YOR105W
1254,YOR091W,0.945953750,1255,YOR105W
1257,YOR109W,0.912520882,1260,YOR115C
1257,YOR109W,0.914420384,1263,YOR133W
1257,YOR109W,0.889233615,1265,YOR137C
1257,YOR109W,0.917075702,1266,YOR139C
1258,YOR111W,0.979506723,1259,YOR113W
1258,YOR111W,0.964252361,1260,YOR115C
1258,YOR111W,0.973586805,1261,YOR129C
1258,YOR111W,0.944891628,1262,YOR131C
1258,YOR111W,0.942194036,1263,YOR133W
1258,YOR111W,0.927407170,1265,YOR137C
1258,YOR111W,0.952970369,1266,YOR139C
1259,YOR113W,0.985749653,1260,YOR115C
1259,YOR113W,0.983767423,1261,YOR129C
1259,YOR113W,0.976242179,1262,YOR131C
1259,YOR113W,0.963999171,1263,YOR133W
1259,YOR113W,0.962163983,1265,YOR137C
1259,YOR113W,0.972848978,1266,YOR139C
125,YER006W,0.909879966,126,YER007W
125,YER006W,0.936740059,127,YER020W
1260,YOR115C,0.969778856,1261,YOR129C
1260,YOR115C,0.972799394,1262,YOR131C
1260,YOR115C,0.985186783,1263,YOR133W
1260,YOR115C,0.979178519,1265,YOR137C
1260,YOR115C,0.994403867,1266,YOR139C
1261,YOR129C,0.947640213,1262,YOR131C
1261,YOR129C,0.964530874,1263,YOR133W
1261,YOR129C,0.915925995,1265,YOR137C
1261,YOR129C,0.949379864,1266,YOR139C
1262,YOR131C,0.960025954,1263,YOR133W
1262,YOR131C,0.954849912,1265,YOR137C
1262,YOR131C,0.967703872,1266,YOR139C
1263,YOR133W,0.947238614,1265,YOR137C
1263,YOR133W,0.976124229,1266,YOR139C
1265,YOR137C,0.979802540,1266,YOR139C
1269,YOR155C,0.993344027,1270,YOR157C
1269,YOR155C,0.933511774,1271,YOR159C
1269,YOR155C,0.958807089,1272,YOR161C
126,YER007W,0.910737010,127,YER020W
1270,YOR157C,0.906278369,1271,YOR159C
1270,YOR157C,0.976766246,1272,YOR161C
1281,YPL090C,0.991144759,1282,YPL092W
1288,YPL116W,0.911522322,1289,YPL118W
1289,YPL118W,0.951857653,1290,YPL120W
129,YER024W,0.971984378,130,YER026C
129,YER024W,0.966272313,131,YER028C
129,YER024W,0.992591042,132,YER030W
1305,CAB,0.912656765,1306,rbcL
1308,CAB,0.997300605,1309,CAB
1308,CAB,0.934637939,1310,RCA
1308,CAB,0.943524916,1311,rbcL
1309,CAB,0.940203576,1310,RCA
1309,CAB,0.948253125,1311,rbcL
130,YER026C,0.964639838,131,YER028C
130,YER026C,0.973972335,132,YER030W
1310,RCA,0.904013025,1311,rbcL
1318,YBL076C,0.948506801,1319,YBL078C
1318,YBL076C,0.947247099,1320,YBL091C-A
1318,YBL076C,0.922881694,1321,YBL093C
1319,YBL078C,0.958555932,1320,YBL091C-A
1319,YBL078C,0.953651804,1321,YBL093C
131,YER028C,0.975438059,132,YER030W
1320,YBL091C-A,0.944056689,1321,YBL093C
1324,YBL099W,0.985147571,1325,YBL101C
1324,YBL099W,0.965570132,1326,YBL113C
1324,YBL099W,0.976548665,1327,YBR002C
1325,YBL101C,0.951318593,1326,YBL113C
1325,YBL101C,0.968282311,1327,YBR002C
1326,YBL113C,0.954418606,1327,YBR002C
1329,YBR006W,0.962125902,1331,YBR010W
1329,YBR006W,0.898688142,1332,YBR022W
1329,YBR006W,0.889704513,1333,YBR024W
1329,YBR006W,0.886489574,1334,YBR026C
1330,YBR008C,0.900041383,1331,YBR010W
1330,YBR008C,0.932066742,1332,YBR022W
1330,YBR008C,0.912055674,1333,YBR024W
1330,YBR008C,0.918019239,1334,YBR026C
1330,YBR008C,0.978130104,1335,YBR028C
1331,YBR010W,0.974602637,1332,YBR022W
1331,YBR010W,0.958229723,1333,YBR024W
1331,YBR010W,0.962518941,1334,YBR026C
1331,YBR010W,0.939564229,1335,YBR028C
1332,YBR022W,0.923050902,1333,YBR024W
1332,YBR022W,0.986392524,1334,YBR026C
1332,YBR022W,0.975366267,1335,YBR028C
1333,YBR024W,0.915990083,1334,YBR026C
1333,YBR024W,0.932652403,1335,YBR028C
1334,YBR026C,0.955470185,1335,YBR028C
1342,YCL040W,0.910570864,1343,YCL042W
1342,YCL040W,0.937409998,1344,YCL057W
1352,YCR014C,0.962314667,1353,YCR016W
135,YER046W,0.969146986,136,YER048C
1374,YDR034C-C,0.918010956,1375,YDR034W-B
1374,YDR034C-C,0.953052277,1376,YDR036C
1374,YDR034C-C,0.962827394,1378,YDR040C
1374,YDR034C-C,0.896388597,1379,YDR042C
1374,YDR034C-C,0.936340447,1382,YDR060W
1374,YDR034C-C,0.926698937,1384,YDR064W
1375,YDR034W-B,0.950003926,1376,YDR036C
1375,YDR034W-B,0.938923200,1378,YDR040C
1375,YDR034W-B,0.912985189,1379,YDR042C
1375,YDR034W-B,0.881244594,1380,YDR056C
1375,YDR034W-B,0.872726921,1381,YDR058C
1375,YDR034W-B,0.950244428,1382,YDR060W
1375,YDR034W-B,0.893355037,1384,YDR064W
1376,YDR036C,0.969283740,1378,YDR040C
1376,YDR036C,0.966120445,1379,YDR042C
1376,YDR036C,0.973772917,1382,YDR060W
1376,YDR036C,0.953196355,1384,YDR064W
1377,YDR038C,0.882494610,1378,YDR040C
1377,YDR038C,0.905561116,1379,YDR042C
1377,YDR038C,0.920199445,1384,YDR064W
1378,YDR040C,0.956003581,1379,YDR042C
1378,YDR040C,0.917509092,1380,YDR056C
1378,YDR040C,0.908221226,1381,YDR058C
1378,YDR040C,0.973202403,1382,YDR060W
1378,YDR040C,0.969878472,1384,YDR064W
1379,YDR042C,0.946346363,1382,YDR060W
1379,YDR042C,0.977476637,1384,YDR064W
1381,YDR058C,0.935112679,1382,YDR060W
1382,YDR060W,0.942829992,1384,YDR064W
1386,YDR353W,0.936684759,1387,YDR355C
1386,YDR353W,0.955578981,1388,YDR357C
1387,YDR355C,0.966783217,1388,YDR357C
138,YER051W,0.978403165,139,YER063W
138,YER051W,0.959798975,140,YER065C
1395,YDR380W,0.968407596,1396,YDR382W
1395,YDR380W,0.978523047,1397,YDR384C
1395,YDR380W,0.970725796,1398,YDR398W
1395,YDR380W,0.913364650,1399,YDR400W
1396,YDR382W,0.962237235,1397,YDR384C
1396,YDR382W,0.933753713,1398,YDR398W
1396,YDR382W,0.924833404,1399,YDR400W
1397,YDR384C,0.981929142,1398,YDR398W
1397,YDR384C,0.906543095,1399,YDR400W
1398,YDR398W,0.905826593,1399,YDR400W
139,YER063W,0.969066360,140,YER065C
1414,YER103W,0.945794920,1415,YER105C
1414,YER103W,0.951965544,1416,YER119C-A
1414,YER103W,0.952611068,1417,YER121W
1415,YER105C,0.982918231,1417,YER121W
1419,YER125W,0.940937611,1420,YER127W
1419,YER125W,0.968971323,1422,YER141W
1419,YER125W,0.973795229,1423,YER143W
141,YER066W,0.916208312,142,YER068W
1420,YER127W,0.977252856,1422,YER141W
1420,YER127W,0.970093260,1423,YER143W
1422,YER141W,0.988425959,1423,YER143W
1426,YER149C,0.938368806,1427,YER151C
1426,YER149C,0.978388467,1428,YER164W
1426,YER149C,0.976910352,1429,YER166W
1427,YER151C,0.924922683,1428,YER164W
1427,YER151C,0.938892674,1429,YER166W
1428,YER164W,0.962540532,1429,YER166W
1432,YER172C,0.984062356,1433,YER174C
1438,YGL159W,0.938030670,1439,YGL161C
1441,YGL177W,0.982711016,1442,YGL179C
1445,YGL185C,0.973691977,1446,YGL199C
1449,YGL205W,0.988251761,1450,YGL207W
1449,YGL205W,0.978407800,1451,YGL209W
144,YER072W,0.989222549,145,YGL043W
144,YER072W,0.945250743,146,YGL045W
144,YER072W,0.980263470,147,YGL047W
1450,YGL207W,0.987608104,1451,YGL209W
1457,YGL232W,0.899778397,1458,YGR260W
1457,YGL232W,0.965090325,1459,YGR262C
1458,YGR260W,0.912008840,1459,YGR262C
145,YGL043W,0.954980524,146,YGL045W
145,YGL043W,0.974197227,147,YGL047W
1464,YGR284C,0.930103601,1465,YGR286C
146,YGL045W,0.964799710,147,YGL047W
1482,YIL062C,0.904539645,1483,YIL064W
1484,YIL066C,0.997886563,1485,YIL068C
14,YPR189W,0.943171539,15,YPR191W
14,YPR189W,0.907837159,16,YPR193C
1533,YJR007W,0.903541470,1534,YJR009C
1533,YJR007W,0.928681295,1535,YJR010W
1534,YJR009C,0.986722112,1535,YJR010W
1537,YJR026W,0.992149993,1538,YJR028W
1537,YJR026W,0.951417393,1539,YJR030C
1538,YJR028W,0.970250467,1539,YJR030C
1542,YJR048W,0.951916084,1543,YJR050W
1548,YJR072C,0.926927291,1549,YJR074W
1548,YJR072C,0.934116484,1550,YJR076C
1548,YJR072C,0.928474823,1551,YJR078W
1548,YJR072C,0.984328932,1552,YJR080C
1549,YJR074W,0.955167359,1550,YJR076C
1549,YJR074W,0.993173559,1551,YJR078W
1549,YJR074W,0.954526654,1552,YJR080C
1550,YJR076C,0.935144345,1551,YJR078W
1550,YJR076C,0.962264515,1552,YJR080C
1551,YJR078W,0.943094016,1552,YJR080C
1554,YKL217W,0.945632577,1555,YKL219W
1560,YKR016W,0.944434508,1561,YKR018C
1566,YKR039W,0.917452795,1567,YKR041W
1571,YKR049C,0.910096662,1573,YKR065C
1571,YKR049C,0.986266166,1574,YKR067W
1573,YKR065C,0.918989020,1574,YKR067W
157,YGL091C,0.965074775,158,YGL093W
157,YGL091C,0.922550196,159,YGL095C
157,YGL091C,0.952840737,160,YGL097W
1587,YLR227W-A,0.957972316,1588,YLR228C
1587,YLR227W-A,0.957697814,1590,YLR244C
1588,YLR228C,0.974292831,1590,YLR244C
158,YGL093W,0.978966457,159,YGL095C
158,YGL093W,0.911571300,160,YGL097W
1592,YLR248W,0.974998740,1593,YLR250W
15,YPR191W,0.990819269,16,YPR193C
1603,YML100W,0.915563326,1604,YML101C
1603,YML100W,0.908314363,1605,YML102W
1607,YML106W,0.940169573,1608,YML119W
1619,YMR020W,0.977314974,1621,YMR035W
161,YGL099W,0.963016255,163,YGL115W
1623,YMR039C,0.953750802,1624,YMR041C
1623,YMR039C,0.920811367,1625,YMR043W
1624,YMR041C,0.962781359,1625,YMR043W
1630,YNL008C,0.949306062,1631,YNL010W
1640,YNL052W,0.906502707,1641,YNL054W
1640,YNL052W,0.961151137,1642,YNL054W-B
1640,YNL052W,0.961355663,1643,YNL056W
1640,YNL052W,0.973410028,1644,YNL071W
1642,YNL054W-B,0.984445526,1643,YNL056W
1642,YNL054W-B,0.972307262,1644,YNL071W
1643,YNL056W,0.954754836,1644,YNL071W
1647,YNL077W,0.943233082,1648,YNL079C
1647,YNL077W,0.895191488,1649,YNL081C
